,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
0,PIH,"1347 Property Insurance Holdings, Inc.",7.2499,$43.39M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,
1,TURN,180 Degree Capital Corp.,2.03,$63.18M,n/a,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/turn,
2,FLWS,"1-800 FLOWERS.COM, Inc.",10.8,$697.94M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,
3,FCCY,1st Constitution Bancorp (NJ),18.2,$146.93M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,
4,SRCE,1st Source Corporation,49.9,$1.29B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,
5,VNET,"21Vianet Group, Inc.",7.94,$886.5M,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet,
6,TWOU,"2U, Inc.",63.72,$3.33B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,
7,JOBS,"51job, Inc.",61.8,$3.82B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,
8,CAFD,8point3 Energy Partners LP,15.15,$1.2B,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd,
9,EGHT,8x8 Inc,14.25,$1.31B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,
10,AVHI,"A V Homes, Inc.",16.75,$376.13M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,
11,SHLM,"A. Schulman, Inc.",37.15,$1.1B,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,
12,AAON,"AAON, Inc.",36.5,$1.92B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,
13,ABAX,"ABAXIS, Inc.",49.02,$1.11B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,
14,ABEO,Abeona Therapeutics Inc.,16.1,$753.08M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo,
16,ABIL,Ability Inc.,0.4496,$11.58M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil,
17,ABMD,"ABIOMED, Inc.",190.42,$8.42B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,
18,ABLX,Ablynx NV,24.08,$1.8B,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ablx,
19,AXAS,Abraxas Petroleum Corporation,2.36,$391.5M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,
20,ACIU,AC Immune SA,12.72,$724.05M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu,
21,ACIA,"Acacia Communications, Inc.",37.59,$1.48B,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia,
22,ACTG,Acacia Research Corporation,4.2,$212.54M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,
23,ACHC,"Acadia Healthcare Company, Inc.",32.45,$2.85B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,
24,ACAD,ACADIA Pharmaceuticals Inc.,30.7,$3.81B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,
25,ACST,"Acasti Pharma, Inc.",0.97,$14.47M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,
26,AXDX,"Accelerate Diagnostics, Inc.",27.6,$1.53B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,
27,XLRN,Acceleron Pharma Inc.,43.15,$1.95B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,
28,ANCX,Access National Corporation,27.7,$566.54M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,
29,ARAY,Accuray Incorporated,4.45,$373.44M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray,
30,ACRX,"AcelRx Pharmaceuticals, Inc.",2,$100.68M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,
31,ACER,Acer Therapeutics Inc.,14.0805,$103.74M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acer,
33,ACET,Aceto Corporation,10.29,$315.3M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet,
34,AKAO,"Achaogen, Inc.",11.22,$475.66M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao,
35,ACHV,"Achieve Life Sciences, Inc. ",1.35,$16.13M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/achv,
36,ACHN,"Achillion Pharmaceuticals, Inc.",2.98,$410.82M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn,
37,ACIW,"ACI Worldwide, Inc.",22.39,$2.65B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,
38,ACRS,"Aclaris Therapeutics, Inc.",23.89,$736.64M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs,
39,ACMR,"ACM Research, Inc.",4.92,$75.5M,2017,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acmr,
40,ACNB,ACNB Corporation,30.1,$211.29M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb,
41,ACOR,"Acorda Therapeutics, Inc.",22.4,$1.05B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor,
